onset,offset,pitch,note,octave
0.738305,1.051305,78,F#,6
1.098305,1.376305,71,B,5
1.365305,1.655305,81,A,6
1.667305,1.968305,78,F#,6
1.968305,2.305305,79,G,6
2.363305,2.595305,71,B,5
3.179204,3.443305,81,A,6
3.455305,3.803305,71,B,5
3.756305,4.023305,72,C,6
4.047305,4.361305,78,F#,6
4.360305,4.928305,79,G,6
4.952305,5.370305,71,B,5
5.637305,5.939305,78,F#,6
5.997305,6.229305,71,B,5
6.229305,6.531305,81,A,6
6.531305,6.810305,78,F#,6
6.810305,7.123305,79,G,6
7.112305,7.390305,81,A,6
7.414305,7.924305,83,B,6
7.924305,8.191305,81,A,6
8.226305,8.493305,79,G,6
8.772305,9.132305,69,A,5
9.109305,9.736305,66,F#,5
9.736305,10.130305,66,F#,5
10.351305,10.490305,76,E,6
10.560305,10.815305,74,D,6
10.828305,11.153305,69,A,5
11.153305,11.362305,81,A,6
11.384305,11.709305,78,F#,6
11.722305,11.885305,79,G,6
12.012305,12.326305,72,C,6
12.314305,12.848305,74,D,6
12.860305,13.197305,72,C,6
13.196305,13.463305,71,B,5
13.463305,13.754305,72,C,6
13.788305,14.114305,69,A,5
14.125305,14.636305,71,B,5
14.648305,15.077305,71,B,5
15.344305,15.658305,69,A,5
15.646305,15.855305,71,B,5
15.878305,15.994305,72,C,6
16.018305,16.157305,81,A,6
16.168305,16.482305,78,F#,6
16.494305,16.737305,71,B,5
16.772305,16.888305,72,C,6
17.074305,17.620305,74,D,6
17.643305,17.933305,81,A,6
17.933305,18.235305,79,G,6
18.862305,19.442305,66,F#,5
19.466305,19.872305,66,F#,5
20.197305,21.416305,62,D,5
20.836305,21.079305,74,D,6
21.416305,22.566305,62,D,5
21.660305,21.973305,74,D,6
22.240305,22.566305,73,C#,6
22.577305,22.914305,74,D,6
23.355305,23.692305,71,B,5
23.703305,23.854305,73,C#,6
23.912305,24.040305,73,C#,6
24.435305,24.899305,71,B,5
25.259305,25.526305,73,C#,6
25.747305,26.083305,71,B,5
26.060305,27.175305,62,D,5
26.327305,26.629305,74,D,6
26.897305,27.187305,73,C#,6
27.187305,27.547305,74,D,6
27.756305,28.035305,74,D,6
28.290305,28.418305,73,C#,6
28.488305,28.592305,73,C#,6
28.906305,29.347305,71,B,5
29.440305,29.869305,64,E,5
29.730305,29.892305,73,C#,6
30.090305,30.520305,64,E,5
30.206305,30.287305,73,C#,6
30.403305,30.577305,71,B,5
30.705305,30.903305,74,D,6
31.204305,31.913305,64,E,5
31.355305,31.448305,74,D,6
31.611305,31.889305,71,B,5
31.901305,31.994305,74,D,6
32.435305,32.725305,74,D,6
33.016305,33.132305,73,C#,6
33.236305,33.666305,73,C#,6
34.211305,34.803305,64,E,5
34.502305,34.780305,73,C#,6
34.792305,35.129305,74,D,6
35.396305,35.663305,74,D,6
35.639305,35.918305,73,C#,6
35.941305,36.568305,64,E,5
36.243305,36.545305,71,B,5
36.835305,37.114305,73,C#,6
37.671305,37.927305,74,D,6
38.345305,38.623305,71,B,5
38.913305,39.262305,81,A,6
39.854305,40.969305,74,D,6
40.167305,40.400305,85,C#,7
40.701305,40.841305,86,D,7
40.957305,41.282305,83,B,6
41.526305,42.164305,74,D,6
41.839305,42.013305,86,D,7
42.164305,42.698305,74,D,6
42.687305,42.954305,81,A,6
42.954305,43.186305,86,D,7
43.290305,43.836305,74,D,6
43.778305,44.115305,81,A,6
44.126305,44.440305,83,B,6
44.475305,44.776305,74,D,6
44.776305,45.612305,74,D,6
