onset,offset,pitch,note,octave
0.305,0.479,55,G,4
0.642,0.781,59,B,4
0.967,1.13,62,D,5
1.292,1.431,59,B,4
1.617,1.745,55,G,4
1.919,2.058,59,B,4
2.221,2.372,62,D,5
2.546,2.674,66,F#,5
2.848,3.022,62,D,5
3.196,3.347,66,F#,5
3.521,3.661,69,A,5
3.835,3.974,66,F#,5
4.148,4.287,62,D,5
4.474,4.614,62,D,5
4.788,4.927,59,B,4
5.101,5.24,59,B,4
5.415,5.589,62,D,5
5.751,5.902,66,F#,5
6.065,6.227,69,A,5
6.401,6.541,66,F#,5
6.703,6.866,62,D,5
7.052,7.179,66,F#,5
7.365,7.504,69,A,5
7.69,7.841,73,C#,6
8.015,8.178,69,A,5
8.515,8.689,74,D,6
8.851,9.002,74,D,6
9.153,9.327,71,B,5
9.478,9.641,71,B,5
9.803,9.977,67,G,5
10.117,10.279,67,G,5
10.454,10.605,64,E,5
10.791,10.954,71,B,5
11.116,11.29,74,D,6
11.453,11.604,74,D,6
11.766,11.917,71,B,5
12.103,12.254,71,B,5
12.428,12.591,74,D,6
12.753,12.916,78,F#,6
13.067,13.229,81,A,6
13.427,13.589,78,F#,6
13.717,13.903,81,A,6
14.065,14.216,81,A,6
14.379,14.553,78,F#,6
14.727,14.889,78,F#,6
15.052,15.214,74,D,6
15.377,15.551,74,D,6
15.703,15.889,71,B,5
