onset,offset,pitch,note,octave
1.92,2.234,71,B,5
2.269,2.524,66,F#,5
2.524,3.093,55,G,4
2.524,2.768,67,G,5
2.768,3.023,66,F#,5
3.023,3.29,71,B,5
3.279,3.476,66,F#,5
3.499,3.964,55,G,4
3.755,3.94,66,F#,5
4.01,4.254,73,C#,6
4.254,4.509,67,G,5
4.509,4.73,57,A,4
4.718,4.985,67,G,5
5.009,5.217,73,C#,6
5.229,5.485,67,G,5
5.485,5.717,57,A,4
5.485,5.566,69,A,5
5.705,5.914,67,G,5
5.995,6.216,74,D,6
6.228,6.46,69,A,5
6.483,6.715,59,B,4
6.715,6.936,69,A,5
6.971,7.214,74,D,6
7.191,7.423,69,A,5
7.435,7.702,59,B,4
7.679,7.876,69,A,5
7.992,8.12,76,E,6
8.201,8.457,69,A,5
8.48,8.782,61,C#,5
8.747,8.968,69,A,5
9.002,9.269,76,E,6
9.258,9.478,69,A,5
9.502,9.745,61,C#,5
9.757,9.989,69,A,5
10.012,10.279,78,F#,6
10.303,10.465,69,A,5
10.535,10.813,62,D,5
10.79,11.011,69,A,5
11.034,11.266,78,F#,6
11.266,11.487,69,A,5
11.522,11.824,62,D,5
11.754,11.951,69,A,5
12.021,12.253,76,E,6
12.23,12.485,69,A,5
12.52,12.706,61,C#,5
12.741,12.996,69,A,5
13.252,13.484,69,A,5
13.53,13.739,61,C#,5
13.739,13.948,69,A,5
14.006,14.25,74,D,6
14.262,14.471,69,A,5
14.505,14.738,59,B,4
14.738,14.958,69,A,5
15.005,15.26,74,D,6
15.26,15.481,69,A,5
15.492,15.725,59,B,4
15.736,15.957,69,A,5
16.003,16.235,62,D,5
16.003,16.259,73,C#,6
16.247,16.502,67,G,5
16.514,16.827,57,A,4
16.735,16.978,67,G,5
17.002,17.245,73,C#,6
17.245,17.501,67,G,5
17.501,17.756,57,A,4
17.756,18.0,67,G,5
18.012,18.244,71,B,5
18.279,18.523,66,F#,5
18.534,19.045,55,G,4
18.801,19.033,66,F#,5
19.057,19.312,71,B,5
19.37,19.521,66,F#,5
19.544,20.02,55,G,4
19.776,20.032,66,F#,5
20.043,20.252,69,A,5
20.276,20.519,64,E,5
20.519,20.752,57,A,4
20.763,20.995,64,E,5
21.019,21.251,69,A,5
21.274,21.518,64,E,5
21.518,21.738,57,A,4
21.785,22.006,64,E,5
22.029,22.319,62,D,5
22.307,22.54,57,A,4
22.54,22.818,62,D,5
22.807,23.016,66,F#,5
23.039,23.294,69,A,5
23.294,23.538,74,D,6
23.538,23.782,78,F#,6
23.852,24.084,81,A,6
24.095,26.069,86,D,7
26.324,26.661,79,G,6
26.94,27.393,64,E,5
27.149,27.393,71,B,5
27.427,27.694,79,G,6
27.706,27.903,71,B,5
27.927,28.333,64,E,5
28.136,28.345,71,B,5
28.426,28.739,78,F#,6
28.658,28.902,71,B,5
28.925,29.413,62,D,5
29.134,29.389,71,B,5
29.413,29.668,78,F#,6
29.645,29.877,71,B,5
29.9,30.388,62,D,5
30.388,30.574,79,G,6
30.562,30.876,71,B,5
30.887,31.201,64,E,5
31.143,31.363,71,B,5
31.386,31.746,79,G,6
31.886,32.292,64,E,5
32.164,32.373,71,B,5
32.396,32.64,81,A,6
32.884,33.221,65,F,5
33.116,33.36,72,C,6
33.372,33.569,81,A,6
33.557,33.848,72,C,6
33.859,34.068,65,F,5
34.08,34.335,72,C,6
34.37,34.498,83,B,6
34.591,34.846,74,D,6
34.846,35.218,64,E,5
35.102,35.345,74,D,6
35.345,35.52,83,B,6
35.543,35.821,74,D,6
35.821,36.112,64,E,5
36.019,36.332,74,D,6
36.344,36.564,81,A,6
36.506,36.773,74,D,6
36.808,37.052,66,F#,5
37.052,37.296,74,D,6
37.307,37.563,81,A,6
37.516,37.783,74,D,6
37.795,38.039,66,F#,5
38.027,38.306,74,D,6
38.294,38.573,79,G,6
38.48,38.77,74,D,6
38.77,39.119,64,E,5
38.991,39.258,74,D,6
39.258,39.525,79,G,6
39.479,39.537,74,D,6
39.537,39.746,74,D,6
39.746,40.117,64,E,5
40.001,40.268,74,D,6
40.256,40.581,78,F#,6
40.558,40.756,74,D,6
40.756,41.243,62,D,5
41.046,41.255,74,D,6
41.255,41.557,78,F#,6
41.522,41.731,74,D,6
41.742,42.207,62,D,5
41.975,42.079,74,D,6
42.079,42.218,74,D,6
42.218,42.462,76,E,6
42.532,42.706,67,G,5
42.718,42.95,60,C,5
42.95,43.182,67,G,5
43.194,43.461,76,E,6
43.403,43.647,67,G,5
43.658,43.902,60,C,5
43.914,44.088,67,G,5
44.215,44.401,74,D,6
44.413,44.622,67,G,5
44.657,44.958,59,B,4
44.877,45.133,67,G,5
45.144,45.4,74,D,6
45.4,45.609,67,G,5
45.62,45.852,59,B,4
45.818,46.108,67,G,5
46.119,46.363,72,C,6
46.34,46.572,66,F#,5
46.595,46.851,57,A,4
46.839,47.071,66,F#,5
47.083,47.327,72,C,6
47.292,47.547,66,F#,5
47.571,47.814,57,A,4
47.803,48.058,66,F#,5
48.058,48.302,67,G,5
48.314,48.546,62,D,5
48.558,48.801,67,G,5
48.813,49.034,71,B,5
49.057,49.312,74,D,6
49.312,49.533,79,G,6
49.544,49.765,82,A#,6
49.788,50.044,86,D,7
