onset,offset,pitch,note,octave
1.297522,1.543,69,A,5
1.775,2.008,72,C,6
2.275,2.716,76,E,6
2.53,2.6,74,D,6
2.925,3.145,72,C,6
3.424,3.633,72,C,6
3.854,4.074,76,E,6
4.306,4.527,71,B,5
4.991,5.189,67,G,5
5.479,5.665,70,A#,5
5.92,6.373,74,D,6
6.605,6.826,70,A#,5
7.069,7.302,70,A#,5
7.534,7.766,74,D,6
7.975,8.219,69,A,5
8.683,8.904,65,F,5
9.136,9.368,68,G#,5
9.612,10.076,72,C,6
10.262,10.506,68,G#,5
10.773,10.982,68,G#,5
11.226,11.493,72,C,6
11.713,11.957,67,G,5
12.433,12.642,64,E,5
12.874,13.025,68,G#,5
13.35,13.768,71,B,5
14.012,14.268,68,G#,5
14.501,14.675,68,G#,5
14.942,15.174,71,B,5
15.383,15.627,66,F#,5
16.091,16.312,69,A,5
16.544,16.753,72,C,6
17.032,17.496,76,E,6
17.705,17.914,72,C,6
18.158,18.402,72,C,6
18.622,18.831,76,E,6
19.064,19.284,71,B,5
19.771,20.003,67,G,5
20.258,20.456,70,A#,5
20.7,21.164,74,D,6
21.385,21.628,70,A#,5
21.872,22.104,70,A#,5
22.326,22.547,74,D,6
22.767,22.976,69,A,5
23.429,23.65,65,F,5
23.87,24.079,68,G#,5
24.346,24.822,72,C,6
25.02,25.275,68,G#,5
25.496,25.751,68,G#,5
25.983,26.227,72,C,6
26.448,26.691,67,G,5
27.156,27.376,64,E,5
27.609,27.794,68,G#,5
28.096,28.537,71,B,5
28.816,29.037,68,G#,5
29.269,29.501,68,G#,5
29.745,30.012,66,F#,5
31.858,31.951,62,D,5
