onset,offset,pitch,note,octave
0.138,0.254,69,A,5
0.451,0.486,69,A,5
0.451,0.753,62,D,5
0.974,0.985,62,D,5
0.753,0.985,65,F,5
0.997,1.276,69,A,5
1.276,1.566,74,D,6
1.543,1.752,76,E,6
1.786,2.042,77,F,6
2.065,2.32,76,E,6
2.332,2.355,79,G,6
2.355,2.471,79,G,6
2.483,2.599,77,F,6
2.611,2.715,76,E,6
2.715,2.82,74,D,6
2.831,3.098,73,C#,6
3.122,3.354,69,A,5
3.365,3.598,64,E,5
3.632,3.899,61,C#,5
3.923,4.143,64,E,5
4.178,4.41,69,A,5
4.445,4.712,76,E,6
4.712,4.956,77,F,6
5.211,5.478,77,F,6
5.49,5.583,81,A,6
5.594,5.734,79,G,6
5.745,5.861,77,F,6
5.861,5.989,76,E,6
6.129,6.175,76,E,6
6.001,6.233,74,D,6
6.291,6.5,69,A,5
6.523,6.779,65,F,5
6.512,6.779,77,F,6
6.779,7.057,62,D,5
7.081,7.185,77,F,6
7.208,7.313,76,E,6
7.336,7.44,74,D,6
7.464,7.615,77,F,6
7.591,7.707,82,A#,6
7.719,7.847,81,A,6
7.847,7.963,79,G,6
7.975,8.102,77,F,6
8.114,8.218,76,E,6
8.242,8.358,74,D,6
8.358,8.497,72,C,6
8.497,8.625,74,D,6
8.636,8.741,76,E,6
8.764,8.868,74,D,6
8.88,8.985,72,C,6
9.019,9.124,76,E,6
9.136,9.24,81,A,6
9.263,9.379,79,G,6
9.379,9.507,77,F,6
9.519,9.635,76,E,6
9.646,9.774,74,D,6
9.762,9.879,72,C,6
9.89,9.995,70,A#,5
10.018,10.146,72,C,6
10.146,10.273,74,D,6
10.273,10.389,72,C,6
10.389,10.517,70,A#,5
10.517,10.633,74,D,6
10.645,10.749,79,G,6
10.773,10.9,77,F,6
10.912,11.028,76,E,6
11.04,11.156,74,D,6
11.156,11.26,73,C#,6
11.272,11.399,71,B,5
11.399,11.504,69,A,5
11.516,11.643,71,B,5
11.643,11.759,73,C#,6
11.771,11.899,71,B,5
11.899,12.003,69,A,5
12.026,12.131,73,C#,6
12.142,12.27,76,E,6
12.259,12.375,74,D,6
12.398,12.514,73,C#,6
12.514,12.63,71,B,5
12.653,12.746,69,A,5
12.769,12.897,67,G,5
12.897,13.025,65,F,5
13.025,13.164,69,A,5
13.164,13.269,67,G,5
13.28,13.396,65,F,5
13.396,13.524,64,E,5
13.524,13.652,62,D,5
13.663,13.884,57,A,4
13.977,14.232,74,D,6
14.244,14.546,73,C#,6
14.581,15.091,62,D,5
