onset,offset,pitch,note,octave
0.138,0.324,69,A,5
0.451,0.753,62,D,5
0.73,0.974,65,F,5
1.276,1.299,62,D,5
1.032,1.601,69,A,5
1.276,1.601,74,D,6
1.624,1.868,76,E,6
1.902,2.135,77,F,6
2.146,2.425,76,E,6
2.46,2.564,79,G,6
2.576,2.704,77,F,6
2.704,2.82,76,E,6
2.82,2.947,74,D,6
2.982,3.226,73,C#,6
3.261,3.493,69,A,5
3.818,4.132,61,C#,5
4.074,4.364,64,E,5
4.399,4.654,69,A,5
4.666,4.979,76,E,6
5.223,5.455,79,G,6
5.467,5.792,77,F,6
5.78,5.885,81,A,6
5.896,6.024,79,G,6
6.059,6.129,77,F,6
6.14,6.291,76,E,6
6.303,6.523,74,D,6
6.593,6.825,69,A,5
6.86,7.173,65,F,5
7.162,7.661,62,D,5
7.673,7.789,76,E,6
7.8,7.905,74,D,6
8.102,8.3,82,A#,6
8.427,8.509,79,G,6
8.543,8.66,77,F,6
8.671,8.776,76,E,6
8.822,8.927,74,D,6
8.961,9.101,72,C,6
9.136,9.228,74,D,6
9.252,9.391,76,E,6
9.519,9.612,72,C,6
9.623,9.751,76,E,6
9.96,10.076,79,G,6
10.111,10.204,77,F,6
10.238,10.331,76,E,6
10.366,10.459,74,D,6
10.471,10.587,72,C,6
10.622,10.714,76,E,6
10.645,10.738,70,A#,5
10.761,10.889,72,C,6
10.912,11.005,74,D,6
11.028,11.132,72,C,6
11.144,11.26,70,A#,5
11.272,11.388,74,D,6
11.434,11.585,79,G,6
11.585,11.701,77,F,6
11.736,11.841,76,E,6
11.852,11.968,74,D,6
12.108,12.235,71,B,5
12.27,12.41,69,A,5
12.572,12.665,73,C#,6
12.688,12.769,71,B,5
12.793,12.909,69,A,5
12.909,13.036,73,C#,6
13.083,13.234,76,E,6
13.257,13.362,74,D,6
13.396,13.489,73,C#,6
13.501,13.605,71,B,5
13.629,13.733,69,A,5
13.745,13.861,67,G,5
13.896,14.07,65,F,5
14.07,14.209,69,A,5
14.221,14.337,67,G,5
14.325,14.43,65,F,5
14.418,14.523,64,E,5
14.523,14.662,62,D,5
14.685,14.975,57,A,4
15.091,15.312,74,D,6
15.068,15.37,57,A,4
15.684,16.16,62,D,5
