onset,offset,pitch,note,octave
0.115,0.265,69,A,5
0.463,0.486,69,A,5
0.463,0.73,62,D,5
0.73,0.95,65,F,5
0.974,1.171,69,A,5
1.485,1.728,76,E,6
1.74,1.949,77,F,6
1.984,2.274,76,E,6
2.262,2.367,79,G,6
2.379,2.495,77,F,6
2.483,2.576,76,E,6
2.576,2.692,74,D,6
2.704,2.947,73,C#,6
2.959,3.122,69,A,5
3.168,3.423,64,E,5
3.447,3.69,61,C#,5
3.702,3.946,64,E,5
3.946,4.201,69,A,5
4.422,4.654,77,F,6
4.677,4.898,79,G,6
4.875,5.177,77,F,6
5.188,5.293,81,A,6
5.304,5.397,79,G,6
5.409,5.513,77,F,6
5.513,5.618,76,E,6
5.629,5.85,74,D,6
5.873,6.07,69,A,5
6.082,6.349,65,F,5
6.372,6.57,62,D,5
6.581,6.709,77,F,6
6.721,6.825,76,E,6
6.837,6.953,74,D,6
6.953,7.081,77,F,6
7.069,7.208,82,A#,6
7.22,7.324,81,A,6
7.336,7.44,79,G,6
7.452,7.557,77,F,6
7.557,7.661,76,E,6
7.661,7.766,74,D,6
7.777,7.893,72,C,6
7.882,8.009,74,D,6
8.009,8.102,76,E,6
8.102,8.218,74,D,6
8.23,8.311,72,C,6
8.323,8.439,76,E,6
8.439,8.567,81,A,6
8.567,8.694,79,G,6
8.694,8.799,77,F,6
8.799,8.927,76,E,6
8.915,9.031,74,D,6
9.031,9.147,72,C,6
9.147,9.24,70,A#,5
9.263,9.368,72,C,6
9.379,9.472,74,D,6
9.472,9.577,72,C,6
9.588,9.693,70,A#,5
9.693,9.797,74,D,6
9.809,9.937,79,G,6
9.948,10.053,77,F,6
10.088,10.157,76,E,6
10.169,10.285,74,D,6
10.285,10.378,73,C#,6
10.389,10.494,71,B,5
10.505,10.587,69,A,5
10.598,10.714,71,B,5
10.714,10.819,73,C#,6
10.831,10.935,71,B,5
10.935,11.04,69,A,5
11.028,11.144,73,C#,6
11.144,11.26,76,E,6
11.272,11.365,74,D,6
11.365,11.469,73,C#,6
11.469,11.574,71,B,5
11.597,11.69,69,A,5
11.701,11.806,67,G,5
11.817,11.934,65,F,5
11.945,12.015,69,A,5
12.038,12.119,67,G,5
12.119,12.212,65,F,5
12.224,12.317,64,E,5
12.328,12.456,62,D,5
12.491,12.63,57,A,4
12.769,13.013,74,D,6
13.036,13.408,73,C#,6
13.454,13.466,74,D,6
13.431,13.826,62,D,5
