onset,offset,pitch,note,octave
0.123,0.239,69,A,5
0.437,0.75,62,D,5
0.75,0.947,65,F,5
0.982,1.261,69,A,5
1.261,1.574,74,D,6
1.563,1.783,76,E,6
1.783,2.05,77,F,6
2.05,2.341,76,E,6
2.341,2.48,79,G,6
2.468,2.608,77,F,6
2.584,2.712,76,E,6
2.712,2.828,74,D,6
2.828,3.095,73,C#,6
3.095,3.339,69,A,5
3.362,3.629,64,E,5
3.618,3.885,61,C#,5
3.908,4.14,64,E,5
4.14,4.407,69,A,5
4.419,4.697,76,E,6
4.697,4.953,77,F,6
4.964,5.208,79,G,6
5.208,5.464,77,F,6
5.464,5.58,81,A,6
5.58,5.719,79,G,6
5.719,5.858,77,F,6
5.858,5.974,76,E,6
5.998,6.253,74,D,6
6.265,6.497,69,A,5
6.509,6.741,65,F,5
6.776,7.054,62,D,5
7.054,7.182,77,F,6
7.205,7.298,76,E,6
7.321,7.437,74,D,6
7.426,7.583136,77,F,6
7.577,7.693,82,A#,6
7.704,7.832,81,A,6
7.855,7.96,79,G,6
7.971,8.087,77,F,6
8.111,8.227,76,E,6
8.227,8.343,74,D,6
8.355,8.482,72,C,6
8.494,8.622,74,D,6
8.633,8.726,76,E,6
8.738,8.865,74,D,6
8.865,8.981,72,C,6
8.993,9.109,76,E,6
9.132,9.225,81,A,6
9.248,9.376,79,G,6
9.376,9.492,77,F,6
9.504,9.632,76,E,6
9.632,9.748,74,D,6
9.759,9.875,72,C,6
9.875,9.992,70,A#,5
9.992,10.131,72,C,6
10.131,10.247,74,D,6
10.27,10.375,72,C,6
10.375,10.502,70,A#,5
10.502,10.63,74,D,6
10.63,10.746,79,G,6
10.758,10.885,77,F,6
10.897,11.013,76,E,6
11.025,11.141,74,D,6
11.153,11.245,73,C#,6
11.257,11.385,71,B,5
11.385,11.489,69,A,5
11.501,11.629,71,B,5
11.64,11.745,73,C#,6
11.768,11.872,71,B,5
11.884,11.988,69,A,5
12.0,12.128,73,C#,6
12.139,12.266,76,E,6
12.255,12.383,74,D,6
12.395,12.499,73,C#,6
12.511,12.627,71,B,5
12.662,12.731,69,A,5
12.755,12.871,67,G,5
12.882,13.01,65,F,5
13.033,13.149,69,A,5
13.149,13.266,67,G,5
13.266,13.393,65,F,5
13.393,13.509,64,E,5
13.509,13.649,62,D,5
13.66,13.881,57,A,4
13.962,14.218,74,D,6
14.229,14.499237,73,C#,6
14.559212,15.039009,62,D,5
