onset,offset,pitch
0.123,0.239,69
0.437,0.75,62
0.75,0.947,65
0.982,1.261,69
1.261,1.574,74
1.563,1.783,76
1.783,2.05,77
2.05,2.341,76
2.341,2.48,79
2.468,2.608,77
2.584,2.712,76
2.712,2.828,74
2.828,3.095,73
3.095,3.339,69
3.362,3.629,64
3.618,3.885,61
3.908,4.14,64
4.14,4.407,69
4.419,4.697,76
4.697,4.953,77
4.964,5.208,79
5.208,5.464,77
5.464,5.58,81
5.58,5.719,79
5.719,5.858,77
5.858,5.974,76
5.998,6.253,74
6.265,6.497,69
6.509,6.741,65
6.776,7.054,62
7.054,7.182,77
7.205,7.298,76
7.321,7.437,74
7.426,7.583136,77
7.577,7.693,82
7.704,7.832,81
7.855,7.96,79
7.971,8.087,77
8.111,8.227,76
8.227,8.343,74
8.355,8.482,72
8.494,8.622,74
8.633,8.726,76
8.738,8.865,74
8.865,8.981,72
8.993,9.109,76
9.132,9.225,81
9.248,9.376,79
9.376,9.492,77
9.504,9.632,76
9.632,9.748,74
9.759,9.875,72
9.875,9.992,70
9.992,10.131,72
10.131,10.247,74
10.27,10.375,72
10.375,10.502,70
10.502,10.63,74
10.63,10.746,79
10.758,10.885,77
10.897,11.013,76
11.025,11.141,74
11.153,11.245,73
11.257,11.385,71
11.385,11.489,69
11.501,11.629,71
11.64,11.745,73
11.768,11.872,71
11.884,11.988,69
12.0,12.128,73
12.139,12.266,76
12.255,12.383,74
12.395,12.499,73
12.511,12.627,71
12.662,12.731,69
12.755,12.871,67
12.882,13.01,65
13.033,13.149,69
13.149,13.266,67
13.266,13.393,65
13.393,13.509,64
13.509,13.649,62
13.66,13.881,57
13.962,14.218,74
14.229,14.499237,73
14.559212,15.039009,62
