onset,offset,pitch,note,octave
0.128,0.395,69,A,5
0.488,0.778,62,D,5
0.778,1.103,65,F,5
1.057,1.359,69,A,5
1.324,1.626,74,D,6
1.649,1.87567,76,E,6
1.890349,2.128477,77,F,6
2.195,2.485,76,E,6
2.496,2.613,79,G,6
2.613,2.729,77,F,6
2.74,2.856,76,E,6
2.868,2.996,74,D,6
3.031,3.263,73,C#,6
3.309,3.541,69,A,5
3.576,3.818211,64,E,5
3.826366,4.128,61,C#,5
4.133,4.406,64,E,5
4.435,4.714,69,A,5
4.714,5.004,76,E,6
4.981,5.109,77,F,6
5.259,5.449228,79,G,6
5.511207,5.836207,77,F,6
5.829,5.933,81,A,6
5.956,6.072,79,G,6
6.084,6.177,77,F,6
6.2,6.333239,76,E,6
6.343025,6.552025,74,D,6
6.63,6.873,69,A,5
6.897,7.199,65,F,5
7.199,7.507572,62,D,5
7.524332,7.652332,77,F,6
7.659058,7.775058,76,E,6
7.797893,7.879444,74,D,6
7.907171,8.073535,77,F,6
8.088214,8.279332,82,A#,6
8.287198,8.418332,81,A,6
8.430332,8.511332,79,G,6
8.534332,8.650332,77,F,6
8.673332,8.766332,76,E,6
8.824332,8.882332,74,D,6
8.982728,9.09292,72,C,6
9.138332,9.242332,74,D,6
9.242332,9.358332,76,E,6
9.382332,9.475332,74,D,6
9.521332,9.614332,72,C,6
9.625332,9.742332,76,E,6
9.788332,9.939332,81,A,6
9.974332,10.078332,79,G,6
10.125332,10.194332,77,F,6
10.229332,10.345332,76,E,6
10.380332,10.461332,74,D,6
10.473332,10.589332,72,C,6
10.636332,10.752332,70,A#,5
10.763332,10.868332,72,C,6
10.903332,11.007332,74,D,6
11.030332,11.123332,72,C,6
11.135332,11.251332,70,A#,5
11.274332,11.390332,74,D,6
11.437332,11.576332,79,G,6
11.576332,11.692332,77,F,6
11.738332,11.831332,76,E,6
11.855332,11.971332,74,D,6
11.994332,12.087332,73,C#,6
12.122332,12.238332,71,B,5
12.273332,12.423332,69,A,5
12.458332,12.540332,71,B,5
12.586332,12.667332,73,C#,6
12.667332,12.772332,71,B,5
12.795332,12.911332,69,A,5
12.911332,13.050332,73,C#,6
13.074332,13.236332,76,E,6
13.248332,13.364332,74,D,6
13.375332,13.480332,73,C#,6
13.492332,13.608332,71,B,5
13.631332,13.735332,69,A,5
13.747332,13.863332,67,G,5
13.898332,14.060332,65,F,5
14.072332,14.200332,69,A,5
14.211332,14.339332,67,G,5
14.327332,14.444332,65,F,5
14.444332,14.525332,64,E,5
14.536332,14.677523,62,D,5
14.70578,14.98378,57,A,4
14.98378,15.238593,74,D,6
15.289154,15.53978,73,C#,6
15.595785,16.091615,62,D,5
