onset,offset,pitch,note,octave
0.108,0.271,69,A,5
0.488723,0.798723,62,D,5
0.739723,0.948723,65,F,5
0.974723,1.183723,69,A,5
1.21663,1.47263,74,D,6
1.49763,1.692478,76,E,6
1.720641,1.932536,77,F,6
1.94863,2.136385,76,E,6
2.148394,2.278542,79,G,6
2.286589,2.415335,77,F,6
2.427405,2.550787,76,E,6
2.558834,2.668834,74,D,6
2.71172,2.949318,73,C#,6
2.925318,3.111318,69,A,5
3.134318,3.378318,64,E,5
3.425388,3.762388,61,C#,5
3.680388,3.936388,64,E,5
3.936388,4.180388,69,A,5
4.168388,4.365388,76,E,6
4.389388,4.632388,77,F,6
4.656388,4.876388,79,G,6
4.865388,5.201388,77,F,6
5.166388,5.259388,81,A,6
5.271388,5.375388,79,G,6
5.375388,5.492388,77,F,6
5.492388,5.596388,76,E,6
5.596388,5.840388,74,D,6
5.851388,6.037388,69,A,5
6.072388,6.327388,65,F,5
6.327388,6.560388,62,D,5
6.560388,6.699388,77,F,6
6.699388,6.803388,76,E,6
6.803388,6.920388,74,D,6
6.920388,7.03277,77,F,6
7.055569,7.169563,82,A#,6
7.187388,7.303388,81,A,6
7.303388,7.430388,79,G,6
7.430388,7.535388,77,F,6
7.535388,7.639388,76,E,6
7.639388,7.755388,74,D,6
7.755388,7.860388,72,C,6
7.860388,7.976388,74,D,6
7.988388,8.081388,76,E,6
8.092388,8.197388,74,D,6
8.197388,8.290388,72,C,6
8.290388,8.417388,76,E,6
8.417388,8.545388,81,A,6
8.557388,8.661388,79,G,6
8.673388,8.777388,77,F,6
8.777388,8.916388,76,E,6
8.905388,8.998388,74,D,6
9.009388,9.123557,72,C,6
9.123557,9.218388,70,A#,5
9.230388,9.334388,72,C,6
9.346388,9.451388,74,D,6
9.451388,9.555388,72,C,6
9.555388,9.671388,70,A#,5
9.683388,9.776388,74,D,6
9.787388,9.915388,79,G,6
9.915388,10.043388,77,F,6
10.043388,10.136388,76,E,6
10.147388,10.252388,74,D,6
10.263388,10.356388,73,C#,6
10.368388,10.461388,71,B,5
10.472388,10.565388,69,A,5
10.577388,10.693388,71,B,5
10.693388,10.797388,73,C#,6
10.809388,10.913388,71,B,5
10.913388,11.006388,69,A,5
11.006388,11.134388,73,C#,6
11.134388,11.227388,76,E,6
11.238388,11.343388,74,D,6
11.342388,11.446388,73,C#,6
11.447388,11.552388,71,B,5
11.551388,11.667388,69,A,5
11.679388,11.783388,67,G,5
11.795388,11.899388,65,F,5
11.899388,11.992388,69,A,5
12.004388,12.097388,67,G,5
12.097388,12.189388,65,F,5
12.213388,12.282388,64,E,5
12.294388,12.433388,62,D,5
12.468388,12.700388,57,A,4
12.735388,13.002388,74,D,6
13.014388,13.362388,73,C#,6
13.409388,13.808047,62,D,5
